label,policy,frac,seed,episode,reason,success,steps,released,handoff_d,R_custom,R_builtin,R_bpot_shape,R_bpot_sparse,ctrl_returned_minus_custom,ctrl_builtin_mismatch_steps,ctrl_builtin_max_abs
zero,zero,1.0,0,0,transport_stall,0,51,0,0.4231,-24.1514,25.5043,-0.255,0.0,0.0,0,0.0
zero,zero,1.0,0,1,transport_stall,0,51,0,0.5684,-23.177,25.5002,-0.255,0.0,0.0,0,0.0
zero,zero,1.0,0,2,transport_stall,0,51,0,0.6331,-23.3585,21.8397,-0.2166,0.0,0.0,0,0.0
zero,zero,1.0,0,3,transport_stall,0,51,0,0.5976,-23.2373,22.953,-0.2159,0.0,0.0,0,0.0
zero,zero,1.0,0,4,transport_stall,0,51,0,0.3882,-24.3339,25.5073,-0.2551,0.0,0.0,0,0.0
zero,zero,1.0,0,5,transport_stall,0,51,0,0.7663,-22.9729,18.524,-0.1851,0.0,0.0,0,0.0
zero,zero,1.0,0,6,transport_stall,0,51,0,0.3343,-24.5054,25.5217,-0.2553,0.0,0.0,0,0.0
zero,zero,1.0,0,7,transport_stall,0,51,0,0.7431,-23.5464,23.1067,-0.2158,0.0,0.0,0,0.0
zero,zero,1.0,0,8,transport_stall,0,51,0,0.6879,-23.57,25.5,-0.255,0.0,0.0,0,0.0
zero,zero,1.0,0,9,transport_stall,0,51,0,0.6069,-23.57,25.5001,-0.255,0.0,0.0,0,0.0
zero,zero,1.0,0,10,transport_stall,0,51,0,0.649,-23.57,25.5,-0.255,0.0,0.0,0,0.0
zero,zero,1.0,0,11,transport_stall,0,51,0,0.7131,-23.57,23.6444,-0.2277,0.0,0.0,0,0.0
zero,zero,1.0,0,12,transport_stall,0,51,0,0.5443,-23.3696,21.293,-0.2124,0.0,0.0,0,0.0
zero,zero,1.0,0,13,transport_stall,0,51,0,0.3912,-24.2799,25.5075,-0.2551,0.0,0.0,0,0.0
zero,zero,1.0,0,14,transport_stall,0,51,0,0.6312,-23.5295,23.7711,-0.2142,0.0,0.0,0,0.0
zero,zero,1.0,0,15,transport_stall,0,51,0,0.5982,-23.5291,25.5002,-0.255,0.0,0.0,0,0.0
zero,zero,1.0,0,16,transport_stall,0,51,0,0.6954,-23.4393,21.5931,-0.2089,0.0,0.0,0,0.0
zero,zero,1.0,0,17,transport_stall,0,51,0,0.3357,-24.4818,25.5239,-0.2553,0.0,0.0,0,0.0
zero,zero,1.0,0,18,transport_stall,0,51,0,0.6745,-23.57,25.5,-0.255,0.0,0.0,0,0.0
zero,zero,1.0,0,19,transport_stall,0,51,0,0.6744,-22.923,19.8292,-0.1935,0.0,0.0,0,0.0
