episode,attempts,success,phase,steps,tag,regrasps,unjams,pose_rejects
0,6,1,DONE_OK,127,,0,0,0
1,8,0,handoff_failed,0,,0,0,0
2,8,0,handoff_failed,0,,0,0,0
3,4,1,DONE_OK,140,,0,0,0
4,8,0,handoff_failed,0,,0,0,0
5,8,0,handoff_failed,0,,0,0,0
6,8,0,handoff_failed,0,,0,0,0
7,8,0,handoff_failed,0,,0,0,0
8,3,0,DONE_FAIL,300,,0,0,0
9,8,0,handoff_failed,0,,0,0,0
10,5,1,DONE_OK,147,,0,0,0
11,8,0,handoff_failed,0,,0,0,0
12,1,1,DONE_OK,131,,0,0,0
13,8,0,handoff_failed,0,,0,0,0
14,7,1,DONE_OK,127,,0,0,0
15,8,0,handoff_failed,0,,0,0,0
16,6,1,DONE_OK,123,,0,0,0
17,8,0,handoff_failed,0,,0,0,0
18,8,0,handoff_failed,0,,0,0,0
19,8,0,handoff_failed,0,,0,0,0
20,8,0,handoff_failed,0,,0,0,0
21,8,0,handoff_failed,0,,0,0,0
22,1,0,DONE_FAIL,293,,1,0,0
23,8,0,handoff_failed,0,,0,0,0
24,7,1,DONE_OK,132,,0,0,0
25,8,0,handoff_failed,0,,0,0,0
26,7,0,DONE_FAIL,300,,0,0,0
27,8,0,handoff_failed,0,,0,0,0
28,7,1,DONE_OK,116,,0,0,0
29,8,0,handoff_failed,0,,0,0,0
30,8,0,handoff_failed,0,,0,0,0
31,8,0,handoff_failed,0,,0,0,0
32,8,0,handoff_failed,0,,0,0,0
33,8,0,handoff_failed,0,,0,0,0
34,1,0,DONE_FAIL,300,,0,0,0
35,8,0,handoff_failed,0,,0,0,0
36,8,0,handoff_failed,0,,0,0,0
37,8,0,handoff_failed,0,,0,0,0
38,5,0,DONE_FAIL,150,,0,0,0
39,3,1,DONE_OK,211,,0,0,0
40,1,1,DONE_OK,253,,0,0,0
41,8,0,handoff_failed,0,,0,0,0
42,8,0,handoff_failed,0,,0,0,0
43,3,1,DONE_OK,144,,0,0,0
44,8,0,handoff_failed,0,,0,0,0
45,8,0,handoff_failed,0,,0,0,0
46,8,0,handoff_failed,0,,0,0,0
47,8,0,handoff_failed,0,,0,0,0
48,8,0,handoff_failed,0,,0,0,0
49,8,0,handoff_failed,0,,0,0,0
