episode,attempts,success,phase,steps,tag
0,1,1,DONE_OK,118,fixB_int8
1,1,0,DONE_FAIL,62,fixB_int8
2,1,0,DONE_FAIL,300,fixB_int8
3,1,1,DONE_OK,135,fixB_int8
4,2,1,DONE_OK,102,fixB_int8
5,1,1,DONE_OK,45,fixB_int8
6,1,1,DONE_OK,84,fixB_int8
7,1,0,DONE_FAIL,300,fixB_int8
8,1,1,DONE_OK,105,fixB_int8
9,3,0,DONE_FAIL,300,fixB_int8
10,1,0,DONE_FAIL,128,fixB_int8
11,1,0,DONE_FAIL,300,fixB_int8
12,1,0,DONE_FAIL,65,fixB_int8
13,1,1,DONE_OK,85,fixB_int8
14,1,1,DONE_OK,105,fixB_int8
15,2,1,DONE_OK,85,fixB_int8
16,2,0,DONE_FAIL,300,fixB_int8
17,2,1,DONE_OK,57,fixB_int8
18,1,0,DONE_FAIL,300,fixB_int8
19,1,1,DONE_OK,127,fixB_int8
20,1,1,DONE_OK,84,fixB_int8
21,1,0,DONE_FAIL,300,fixB_int8
22,1,0,DONE_FAIL,300,fixB_int8
23,1,1,DONE_OK,121,fixB_int8
24,1,1,DONE_OK,131,fixB_int8
25,1,0,DONE_FAIL,300,fixB_int8
26,1,1,DONE_OK,84,fixB_int8
27,1,0,DONE_FAIL,300,fixB_int8
28,1,1,DONE_OK,83,fixB_int8
29,1,1,DONE_OK,109,fixB_int8
30,1,1,DONE_OK,35,fixB_int8
31,1,1,DONE_OK,112,fixB_int8
32,1,0,DONE_FAIL,300,fixB_int8
33,2,1,DONE_OK,53,fixB_int8
34,1,1,DONE_OK,109,fixB_int8
35,1,0,DONE_FAIL,300,fixB_int8
36,1,1,DONE_OK,121,fixB_int8
37,1,1,DONE_OK,131,fixB_int8
38,1,1,DONE_OK,115,fixB_int8
39,1,1,DONE_OK,61,fixB_int8
40,1,1,DONE_OK,71,fixB_int8
41,1,1,DONE_OK,114,fixB_int8
42,1,1,DONE_OK,92,fixB_int8
43,1,1,DONE_OK,163,fixB_int8
44,1,1,DONE_OK,85,fixB_int8
45,1,1,DONE_OK,86,fixB_int8
46,1,1,DONE_OK,119,fixB_int8
47,1,1,DONE_OK,85,fixB_int8
48,1,0,DONE_FAIL,300,fixB_int8
49,1,1,DONE_OK,100,fixB_int8
50,1,1,DONE_OK,60,fixB_int8
51,1,0,DONE_FAIL,92,fixB_int8
52,1,1,DONE_OK,83,fixB_int8
53,2,1,DONE_OK,81,fixB_int8
54,1,1,DONE_OK,130,fixB_int8
55,1,1,DONE_OK,103,fixB_int8
56,1,1,DONE_OK,94,fixB_int8
57,2,1,DONE_OK,121,fixB_int8
58,1,0,DONE_FAIL,300,fixB_int8
59,1,1,DONE_OK,78,fixB_int8
60,1,0,DONE_FAIL,300,fixB_int8
61,1,1,DONE_OK,120,fixB_int8
62,1,1,DONE_OK,135,fixB_int8
63,1,1,DONE_OK,80,fixB_int8
64,1,1,DONE_OK,107,fixB_int8
65,1,1,DONE_OK,119,fixB_int8
66,1,0,DONE_FAIL,300,fixB_int8
67,1,1,DONE_OK,102,fixB_int8
68,1,1,DONE_OK,84,fixB_int8
69,1,1,DONE_OK,92,fixB_int8
70,1,1,DONE_OK,82,fixB_int8
71,1,0,DONE_FAIL,300,fixB_int8
72,1,1,DONE_OK,115,fixB_int8
73,1,1,DONE_OK,52,fixB_int8
74,1,1,DONE_OK,127,fixB_int8
75,1,1,DONE_OK,105,fixB_int8
76,1,1,DONE_OK,79,fixB_int8
77,1,1,DONE_OK,81,fixB_int8
78,1,1,DONE_OK,39,fixB_int8
79,1,1,DONE_OK,129,fixB_int8
80,1,1,DONE_OK,131,fixB_int8
81,1,1,DONE_OK,90,fixB_int8
82,1,1,DONE_OK,51,fixB_int8
83,2,1,DONE_OK,51,fixB_int8
84,1,1,DONE_OK,82,fixB_int8
85,2,1,DONE_OK,98,fixB_int8
86,1,1,DONE_OK,110,fixB_int8
87,1,1,DONE_OK,70,fixB_int8
88,1,1,DONE_OK,90,fixB_int8
89,1,1,DONE_OK,46,fixB_int8
90,1,1,DONE_OK,94,fixB_int8
91,1,0,DONE_FAIL,300,fixB_int8
92,1,1,DONE_OK,97,fixB_int8
93,2,1,DONE_OK,99,fixB_int8
94,1,0,DONE_FAIL,300,fixB_int8
95,1,1,DONE_OK,83,fixB_int8
96,1,0,DONE_FAIL,105,fixB_int8
97,1,0,DONE_FAIL,90,fixB_int8
98,1,1,DONE_OK,113,fixB_int8
99,1,1,DONE_OK,126,fixB_int8
