episode,attempts,success,phase,steps,tag
0,1,1,DONE_OK,139,fixB_int8
1,1,1,DONE_OK,81,fixB_int8
2,1,1,DONE_OK,96,fixB_int8
3,1,1,DONE_OK,131,fixB_int8
4,1,1,DONE_OK,109,fixB_int8
5,1,1,DONE_OK,98,fixB_int8
6,1,1,DONE_OK,101,fixB_int8
7,1,1,DONE_OK,123,fixB_int8
8,1,1,DONE_OK,126,fixB_int8
9,1,1,DONE_OK,91,fixB_int8
10,2,1,DONE_OK,137,fixB_int8
11,1,0,DONE_FAIL,300,fixB_int8
12,1,1,DONE_OK,44,fixB_int8
13,1,1,DONE_OK,101,fixB_int8
14,1,1,DONE_OK,100,fixB_int8
15,1,1,DONE_OK,117,fixB_int8
16,1,0,DONE_FAIL,63,fixB_int8
17,1,1,DONE_OK,115,fixB_int8
18,2,1,DONE_OK,123,fixB_int8
19,1,1,DONE_OK,98,fixB_int8
20,1,0,DONE_FAIL,300,fixB_int8
21,1,1,DONE_OK,134,fixB_int8
22,1,0,DONE_FAIL,300,fixB_int8
23,1,1,DONE_OK,124,fixB_int8
24,1,1,DONE_OK,42,fixB_int8
25,1,0,DONE_FAIL,300,fixB_int8
26,1,1,DONE_OK,86,fixB_int8
27,1,1,DONE_OK,137,fixB_int8
28,1,1,DONE_OK,116,fixB_int8
29,1,1,DONE_OK,93,fixB_int8
30,1,1,DONE_OK,68,fixB_int8
31,1,1,DONE_OK,88,fixB_int8
32,1,1,DONE_OK,103,fixB_int8
33,1,1,DONE_OK,82,fixB_int8
34,1,1,DONE_OK,125,fixB_int8
35,1,0,DONE_FAIL,300,fixB_int8
36,2,1,DONE_OK,113,fixB_int8
37,1,1,DONE_OK,128,fixB_int8
38,1,0,DONE_FAIL,54,fixB_int8
39,2,1,DONE_OK,73,fixB_int8
40,1,0,DONE_FAIL,300,fixB_int8
41,1,0,DONE_FAIL,300,fixB_int8
42,1,1,DONE_OK,120,fixB_int8
43,1,1,DONE_OK,114,fixB_int8
44,1,1,DONE_OK,139,fixB_int8
45,1,1,DONE_OK,61,fixB_int8
46,1,1,DONE_OK,34,fixB_int8
47,1,1,DONE_OK,127,fixB_int8
48,1,0,DONE_FAIL,300,fixB_int8
49,1,1,DONE_OK,68,fixB_int8
50,1,1,DONE_OK,126,fixB_int8
51,1,1,DONE_OK,105,fixB_int8
52,1,1,DONE_OK,20,fixB_int8
53,1,1,DONE_OK,101,fixB_int8
54,1,0,DONE_FAIL,300,fixB_int8
55,1,0,DONE_FAIL,300,fixB_int8
56,1,1,DONE_OK,83,fixB_int8
57,1,1,DONE_OK,89,fixB_int8
58,1,1,DONE_OK,218,fixB_int8
59,1,0,DONE_FAIL,300,fixB_int8
60,1,1,DONE_OK,69,fixB_int8
61,1,1,DONE_OK,99,fixB_int8
62,1,0,DONE_FAIL,300,fixB_int8
63,1,0,DONE_FAIL,300,fixB_int8
64,1,1,DONE_OK,114,fixB_int8
65,1,1,DONE_OK,120,fixB_int8
66,1,1,DONE_OK,115,fixB_int8
67,1,1,DONE_OK,127,fixB_int8
68,1,0,DONE_FAIL,300,fixB_int8
69,1,1,DONE_OK,122,fixB_int8
70,1,1,DONE_OK,128,fixB_int8
71,1,0,DONE_FAIL,300,fixB_int8
72,1,1,DONE_OK,45,fixB_int8
73,1,1,DONE_OK,108,fixB_int8
74,1,1,DONE_OK,115,fixB_int8
75,1,1,DONE_OK,92,fixB_int8
76,1,0,DONE_FAIL,300,fixB_int8
77,1,1,DONE_OK,105,fixB_int8
78,1,1,DONE_OK,86,fixB_int8
79,1,1,DONE_OK,110,fixB_int8
80,1,1,DONE_OK,99,fixB_int8
81,1,1,DONE_OK,116,fixB_int8
82,1,1,DONE_OK,99,fixB_int8
83,1,0,DONE_FAIL,300,fixB_int8
84,1,0,DONE_FAIL,136,fixB_int8
85,1,1,DONE_OK,53,fixB_int8
86,1,1,DONE_OK,85,fixB_int8
87,1,1,DONE_OK,96,fixB_int8
88,1,1,DONE_OK,101,fixB_int8
89,1,1,DONE_OK,33,fixB_int8
90,1,0,DONE_FAIL,300,fixB_int8
91,1,1,DONE_OK,133,fixB_int8
92,1,1,DONE_OK,99,fixB_int8
93,1,1,DONE_OK,115,fixB_int8
94,1,1,DONE_OK,78,fixB_int8
95,1,1,DONE_OK,113,fixB_int8
96,1,0,DONE_FAIL,128,fixB_int8
97,1,0,DONE_FAIL,300,fixB_int8
98,1,1,DONE_OK,80,fixB_int8
99,2,0,DONE_FAIL,57,fixB_int8
