episode,attempts,success,rested,rest_z,phase,steps,tag,regrasps,unjams,pose_rejects,stage_exit,stage_x,stage_y,stage_z
0,1,1,1,0.862,DONE_OK,175,,0,0,0,,0.0,0.0,0.0
1,1,0,0,2.0396,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
2,1,0,0,1.8448,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
3,1,0,0,1.7328,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
4,1,0,0,1.703,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
5,1,1,1,0.8705,DONE_OK,148,,0,0,0,,0.0,0.0,0.0
6,1,0,0,1.2294,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
7,1,1,1,0.8945,DONE_OK,159,,0,0,0,,0.0,0.0,0.0
8,1,0,0,1.178,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
9,1,0,0,1.5477,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
10,1,1,1,0.8722,DONE_OK,174,,0,0,0,,0.0,0.0,0.0
11,1,0,0,1.8948,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
12,1,0,0,1.5288,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
13,1,0,0,1.4727,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
14,1,0,0,1.4821,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
15,1,0,0,1.2533,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
16,1,1,1,0.8613,DONE_OK,172,,0,0,0,,0.0,0.0,0.0
17,1,0,1,0.8755,DONE_FAIL,189,,0,0,0,,0.0,0.0,0.0
18,1,1,1,0.8767,DONE_OK,141,,0,0,0,,0.0,0.0,0.0
19,1,1,1,0.8776,DONE_OK,155,,0,0,0,,0.0,0.0,0.0
20,1,0,0,0.8806,DONE_FAIL,299,,0,0,0,,0.0,0.0,0.0
21,1,0,0,1.1399,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
22,1,1,1,0.8918,DONE_OK,175,,0,0,0,,0.0,0.0,0.0
23,1,1,1,0.8722,DONE_OK,250,,0,0,0,,0.0,0.0,0.0
24,1,0,0,1.7017,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
25,1,0,0,1.5143,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
26,1,0,0,1.5173,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
27,1,0,0,1.5772,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
28,1,0,0,0.9295,DONE_FAIL,209,,0,0,0,,0.0,0.0,0.0
29,1,0,0,1.6449,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
30,1,0,0,1.2262,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
