episode,attempts,success,phase,steps,tag
0,1,1,DONE_OK,139,int8_rand_tuned
1,1,1,DONE_OK,81,int8_rand_tuned
2,1,1,DONE_OK,96,int8_rand_tuned
3,1,1,DONE_OK,131,int8_rand_tuned
4,1,1,DONE_OK,109,int8_rand_tuned
5,1,1,DONE_OK,98,int8_rand_tuned
6,1,1,DONE_OK,101,int8_rand_tuned
7,1,1,DONE_OK,123,int8_rand_tuned
8,1,1,DONE_OK,126,int8_rand_tuned
9,1,1,DONE_OK,91,int8_rand_tuned
10,2,1,DONE_OK,137,int8_rand_tuned
11,1,0,DONE_FAIL,300,int8_rand_tuned
12,1,1,DONE_OK,44,int8_rand_tuned
13,1,1,DONE_OK,101,int8_rand_tuned
14,1,1,DONE_OK,100,int8_rand_tuned
15,1,1,DONE_OK,117,int8_rand_tuned
16,1,0,DONE_FAIL,63,int8_rand_tuned
17,1,1,DONE_OK,115,int8_rand_tuned
18,2,1,DONE_OK,123,int8_rand_tuned
19,1,1,DONE_OK,98,int8_rand_tuned
20,1,0,DONE_FAIL,300,int8_rand_tuned
21,1,1,DONE_OK,134,int8_rand_tuned
22,1,0,DONE_FAIL,300,int8_rand_tuned
23,1,1,DONE_OK,124,int8_rand_tuned
24,1,1,DONE_OK,42,int8_rand_tuned
25,1,0,DONE_FAIL,300,int8_rand_tuned
26,1,1,DONE_OK,86,int8_rand_tuned
27,1,1,DONE_OK,137,int8_rand_tuned
28,1,1,DONE_OK,116,int8_rand_tuned
29,1,1,DONE_OK,93,int8_rand_tuned
30,1,1,DONE_OK,68,int8_rand_tuned
31,1,1,DONE_OK,88,int8_rand_tuned
32,1,1,DONE_OK,103,int8_rand_tuned
33,1,1,DONE_OK,82,int8_rand_tuned
34,1,1,DONE_OK,125,int8_rand_tuned
35,1,0,DONE_FAIL,300,int8_rand_tuned
36,2,1,DONE_OK,113,int8_rand_tuned
37,1,1,DONE_OK,128,int8_rand_tuned
38,1,0,DONE_FAIL,54,int8_rand_tuned
39,2,1,DONE_OK,73,int8_rand_tuned
40,1,0,DONE_FAIL,300,int8_rand_tuned
41,1,0,DONE_FAIL,300,int8_rand_tuned
42,1,1,DONE_OK,120,int8_rand_tuned
43,1,1,DONE_OK,114,int8_rand_tuned
44,1,1,DONE_OK,139,int8_rand_tuned
45,1,1,DONE_OK,61,int8_rand_tuned
46,1,1,DONE_OK,34,int8_rand_tuned
47,1,1,DONE_OK,127,int8_rand_tuned
48,1,0,DONE_FAIL,300,int8_rand_tuned
49,1,1,DONE_OK,68,int8_rand_tuned
50,1,1,DONE_OK,126,int8_rand_tuned
51,1,1,DONE_OK,105,int8_rand_tuned
52,1,1,DONE_OK,20,int8_rand_tuned
53,1,1,DONE_OK,101,int8_rand_tuned
54,1,0,DONE_FAIL,300,int8_rand_tuned
55,1,0,DONE_FAIL,300,int8_rand_tuned
56,1,1,DONE_OK,83,int8_rand_tuned
57,1,1,DONE_OK,89,int8_rand_tuned
58,1,1,DONE_OK,218,int8_rand_tuned
59,1,0,DONE_FAIL,300,int8_rand_tuned
60,1,1,DONE_OK,69,int8_rand_tuned
61,1,1,DONE_OK,99,int8_rand_tuned
62,1,0,DONE_FAIL,300,int8_rand_tuned
63,1,0,DONE_FAIL,300,int8_rand_tuned
64,1,1,DONE_OK,114,int8_rand_tuned
65,1,1,DONE_OK,120,int8_rand_tuned
66,1,1,DONE_OK,115,int8_rand_tuned
67,1,1,DONE_OK,127,int8_rand_tuned
68,1,0,DONE_FAIL,300,int8_rand_tuned
69,1,1,DONE_OK,122,int8_rand_tuned
70,1,1,DONE_OK,128,int8_rand_tuned
71,1,0,DONE_FAIL,300,int8_rand_tuned
72,1,1,DONE_OK,45,int8_rand_tuned
73,1,1,DONE_OK,108,int8_rand_tuned
74,1,1,DONE_OK,115,int8_rand_tuned
75,1,1,DONE_OK,92,int8_rand_tuned
76,1,0,DONE_FAIL,300,int8_rand_tuned
77,1,1,DONE_OK,105,int8_rand_tuned
78,1,1,DONE_OK,86,int8_rand_tuned
79,1,1,DONE_OK,110,int8_rand_tuned
80,1,1,DONE_OK,99,int8_rand_tuned
81,1,1,DONE_OK,116,int8_rand_tuned
82,1,1,DONE_OK,99,int8_rand_tuned
83,1,0,DONE_FAIL,300,int8_rand_tuned
84,1,0,DONE_FAIL,136,int8_rand_tuned
85,1,1,DONE_OK,53,int8_rand_tuned
86,1,1,DONE_OK,85,int8_rand_tuned
87,1,1,DONE_OK,96,int8_rand_tuned
88,1,1,DONE_OK,101,int8_rand_tuned
89,1,1,DONE_OK,33,int8_rand_tuned
90,1,0,DONE_FAIL,300,int8_rand_tuned
91,1,1,DONE_OK,133,int8_rand_tuned
92,1,1,DONE_OK,99,int8_rand_tuned
93,1,1,DONE_OK,115,int8_rand_tuned
94,1,1,DONE_OK,78,int8_rand_tuned
95,1,1,DONE_OK,113,int8_rand_tuned
96,1,0,DONE_FAIL,128,int8_rand_tuned
97,1,0,DONE_FAIL,300,int8_rand_tuned
98,1,1,DONE_OK,80,int8_rand_tuned
99,2,0,DONE_FAIL,57,int8_rand_tuned
