episode,attempts,success,rested,rest_z,phase,steps,tag,regrasps,unjams,pose_rejects,stage_exit,stage_x,stage_y,stage_z
0,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
1,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
2,1,0,,,DONE_FAIL,519,,2,0,0,,0.0,0.0,0.0
3,1,0,,,DONE_FAIL,281,,1,0,0,,0.0,0.0,0.0
4,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
5,1,0,,,DONE_FAIL,284,,1,0,0,,0.0,0.0,0.0
6,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
7,1,0,,,DONE_FAIL,426,,1,0,0,,0.0,0.0,0.0
8,1,1,,,DONE_OK,286,,0,0,0,,0.0,0.0,0.0
9,1,1,,,DONE_OK,172,,0,0,0,,0.0,0.0,0.0
10,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
11,1,0,,,DONE_FAIL,447,,1,0,0,,0.0,0.0,0.0
12,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
13,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
14,1,0,,,DONE_FAIL,293,,1,0,0,,0.0,0.0,0.0
15,1,0,,,DONE_FAIL,334,,1,0,0,,0.0,0.0,0.0
16,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
17,1,0,,,DONE_FAIL,641,,2,0,0,,0.0,0.0,0.0
18,1,0,,,DONE_FAIL,321,,0,0,0,,0.0,0.0,0.0
19,1,1,,,DONE_OK,312,,0,0,0,,0.0,0.0,0.0
20,1,0,,,DONE_FAIL,455,,1,0,0,,0.0,0.0,0.0
21,2,0,,,DONE_FAIL,430,,1,0,0,,0.0,0.0,0.0
22,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
23,1,0,,,DONE_FAIL,391,,1,0,0,,0.0,0.0,0.0
24,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
25,1,0,,,DONE_FAIL,221,,0,0,0,,0.0,0.0,0.0
26,1,0,,,DONE_FAIL,540,,1,0,0,,0.0,0.0,0.0
27,1,1,,,DONE_OK,176,,0,0,0,,0.0,0.0,0.0
28,1,1,,,DONE_OK,93,,0,0,0,,0.0,0.0,0.0
29,1,0,,,DONE_FAIL,398,,2,0,0,,0.0,0.0,0.0
30,1,0,,,DONE_FAIL,345,,1,0,0,,0.0,0.0,0.0
31,1,1,,,DONE_OK,275,,0,0,0,,0.0,0.0,0.0
32,1,1,,,DONE_OK,87,,0,0,0,,0.0,0.0,0.0
33,2,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
34,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
35,1,0,,,DONE_FAIL,263,,1,0,0,,0.0,0.0,0.0
36,1,0,,,DONE_FAIL,541,,1,0,0,,0.0,0.0,0.0
37,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
38,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
39,1,0,,,DONE_FAIL,531,,2,0,0,,0.0,0.0,0.0
40,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
41,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
42,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
43,1,1,,,DONE_OK,72,,0,0,0,,0.0,0.0,0.0
44,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
45,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
46,1,0,,,DONE_FAIL,380,,1,0,0,,0.0,0.0,0.0
47,1,1,,,DONE_OK,64,,0,0,0,,0.0,0.0,0.0
48,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
49,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
