episode,attempts,success,rested,rest_z,phase,steps,tag,regrasps,unjams,pose_rejects,stage_exit,stage_x,stage_y,stage_z
0,1,0,,,DONE_FAIL,273,,1,0,0,,0.0,0.0,0.0
1,1,0,,,DONE_FAIL,468,,1,0,0,,0.0,0.0,0.0
2,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
3,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
4,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
5,1,0,,,DONE_FAIL,318,,1,0,0,,0.0,0.0,0.0
6,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
7,2,0,,,DONE_FAIL,298,,0,0,0,,0.0,0.0,0.0
8,1,1,,,DONE_OK,92,,0,0,0,,0.0,0.0,0.0
9,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
10,1,0,,,DONE_FAIL,400,,1,0,0,,0.0,0.0,0.0
11,1,0,,,DONE_FAIL,459,,1,0,0,,0.0,0.0,0.0
12,1,0,,,DONE_FAIL,474,,1,0,0,,0.0,0.0,0.0
13,1,1,,,DONE_OK,85,,0,0,0,,0.0,0.0,0.0
14,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
15,1,0,,,DONE_FAIL,314,,1,0,0,,0.0,0.0,0.0
16,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
17,1,1,,,DONE_OK,368,,0,0,0,,0.0,0.0,0.0
18,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
19,1,1,,,DONE_OK,96,,0,0,0,,0.0,0.0,0.0
20,1,0,,,DONE_FAIL,491,,1,0,0,,0.0,0.0,0.0
21,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
22,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
23,1,0,,,DONE_FAIL,324,,1,0,0,,0.0,0.0,0.0
24,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
25,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
26,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
27,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
28,1,1,,,DONE_OK,95,,0,0,0,,0.0,0.0,0.0
29,1,0,,,DONE_FAIL,496,,1,0,0,,0.0,0.0,0.0
30,1,1,,,DONE_OK,60,,0,0,0,,0.0,0.0,0.0
31,1,0,,,DONE_FAIL,374,,1,0,0,,0.0,0.0,0.0
32,1,1,,,DONE_OK,89,,0,0,0,,0.0,0.0,0.0
33,1,0,,,DONE_FAIL,367,,2,0,0,,0.0,0.0,0.0
34,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
35,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
36,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
37,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
38,2,0,,,DONE_FAIL,164,,1,0,0,,0.0,0.0,0.0
39,1,1,,,DONE_OK,125,,0,0,0,,0.0,0.0,0.0
40,1,0,,,DONE_FAIL,269,,1,0,0,,0.0,0.0,0.0
41,1,0,,,DONE_FAIL,51,,0,0,0,,0.0,0.0,0.0
42,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
43,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
44,1,1,,,DONE_OK,46,,0,0,0,,0.0,0.0,0.0
45,2,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
46,1,1,,,DONE_OK,83,,0,0,0,,0.0,0.0,0.0
47,1,0,,,DONE_FAIL,402,,1,0,0,,0.0,0.0,0.0
48,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
49,1,1,,,DONE_OK,209,,0,0,0,,0.0,0.0,0.0
