episode,mode,success,steps,phase,ticks,detections,truth_fallback_steps,latched
0,latch,1,153,7,31,4,0,1
1,latch,1,99,7,20,4,0,1
2,latch,0,250,8,50,46,0,1
3,latch,1,128,7,26,3,0,1
4,latch,1,133,7,27,5,0,1
5,latch,1,164,7,33,4,0,1
6,latch,1,135,7,27,3,0,1
7,latch,0,319,8,64,5,0,1
8,latch,0,301,8,61,4,0,1
9,latch,1,305,7,61,52,0,1
10,latch,1,157,7,32,20,0,1
11,latch,1,132,7,27,3,0,1
12,latch,0,160,8,32,4,0,1
13,latch,1,148,7,30,3,0,1
14,latch,0,250,8,50,48,0,1
15,latch,0,346,8,70,3,0,1
16,latch,1,165,7,33,19,0,1
17,latch,1,149,7,30,4,0,1
18,latch,1,156,7,32,3,0,1
19,latch,1,145,7,29,3,0,1
20,latch,1,142,7,29,4,0,1
21,latch,1,155,7,31,4,0,1
22,latch,0,262,8,53,3,0,1
23,latch,1,159,7,32,7,0,1
24,latch,1,147,7,30,3,0,1
25,latch,1,155,7,31,3,0,1
26,latch,1,101,7,21,4,0,1
27,latch,1,159,7,32,21,0,1
28,latch,0,123,8,25,7,0,1
29,latch,1,123,7,25,4,0,1
30,latch,1,154,7,31,4,0,1
31,latch,1,154,7,31,7,0,1
32,latch,1,154,7,31,5,0,1
33,latch,1,142,7,29,4,0,1
34,latch,1,126,7,26,3,0,1
35,latch,1,116,7,24,3,0,1
36,latch,1,139,7,28,5,0,1
37,latch,1,139,7,28,4,0,1
38,latch,1,156,7,32,3,0,1
39,latch,1,138,7,28,5,0,1
40,latch,1,165,7,33,3,0,1
41,latch,1,155,7,31,22,0,1
42,latch,1,165,7,33,5,0,1
43,latch,1,164,7,33,3,0,1
44,latch,1,163,7,33,5,0,1
45,latch,1,161,7,33,4,0,1
46,latch,1,132,7,27,4,0,1
47,latch,0,250,8,50,50,0,1
48,latch,0,115,8,23,4,0,1
49,latch,1,159,7,32,9,0,1
