episode,mode,success,steps,phase,ticks,detections,truth_fallback_steps,latched
0,latch,0,140,8,28,5,0,1
1,latch,1,145,7,29,28,0,1
2,latch,1,151,7,31,28,0,1
3,latch,1,155,7,31,3,0,1
4,latch,1,111,7,23,4,0,1
5,latch,1,143,7,29,4,0,1
6,latch,1,146,7,30,4,0,1
7,latch,1,130,7,26,4,0,1
8,latch,1,140,7,28,4,0,1
9,latch,1,176,7,36,10,0,1
10,latch,1,118,7,24,5,0,1
11,latch,1,138,7,28,3,0,1
12,latch,1,158,7,32,4,0,1
13,latch,1,96,7,20,4,0,1
14,latch,1,151,7,31,4,0,1
15,latch,1,83,7,17,4,0,1
16,latch,1,78,7,16,4,0,1
17,latch,1,140,7,28,3,0,1
18,latch,1,147,7,30,8,0,1
19,latch,1,137,7,28,3,0,1
20,latch,1,90,7,18,3,0,1
21,latch,1,169,7,34,7,0,1
22,latch,1,127,7,26,5,0,1
23,latch,0,331,8,67,4,0,1
24,latch,0,310,8,62,4,0,1
25,latch,1,166,7,34,22,0,1
26,latch,1,168,7,34,5,0,1
27,latch,0,348,8,70,6,0,1
28,latch,1,157,7,32,8,0,1
29,latch,1,104,7,21,3,0,1
30,latch,1,134,7,27,4,0,1
31,latch,1,110,7,22,3,0,1
32,latch,1,131,7,27,4,0,1
33,latch,1,142,7,29,3,0,1
34,latch,1,146,7,30,3,0,1
35,latch,1,147,7,30,23,0,1
36,latch,1,165,7,33,3,0,1
37,latch,1,107,7,22,4,0,1
38,latch,1,145,7,29,3,0,1
39,latch,1,138,7,28,5,0,1
40,latch,1,138,7,28,5,0,1
41,latch,0,250,8,50,46,0,1
42,latch,1,111,7,23,5,0,1
43,latch,1,134,7,27,3,0,1
44,latch,1,143,7,29,3,0,1
45,latch,0,148,8,30,4,0,1
46,latch,1,103,7,21,4,0,1
47,latch,1,156,7,32,5,0,1
48,latch,1,169,7,34,10,0,1
49,latch,1,139,7,28,7,0,1
