episode,mode,success,steps,phase,ticks,detections,truth_fallback_steps,latched
0,latch,1,105,7,21,4,0,1
1,latch,1,152,7,31,4,0,1
2,latch,0,252,8,51,47,0,1
3,latch,1,163,7,33,3,0,1
4,latch,0,251,8,51,48,0,1
5,latch,0,344,8,69,11,0,1
6,latch,1,112,7,23,4,0,1
7,latch,1,161,7,33,4,0,1
8,latch,1,119,7,24,22,0,1
9,latch,1,127,7,26,4,0,1
10,latch,0,124,8,25,6,0,1
11,latch,1,147,7,30,4,0,1
12,latch,1,123,7,25,4,0,1
13,latch,1,164,7,33,4,0,1
14,latch,1,165,7,33,22,0,1
15,latch,0,250,8,50,40,0,1
16,latch,0,269,8,54,43,0,1
17,latch,1,166,7,34,11,0,1
18,latch,0,148,8,30,7,0,1
19,latch,1,131,7,27,13,0,1
20,latch,0,312,8,63,4,0,1
21,latch,0,329,8,66,3,0,1
22,latch,0,250,8,50,48,0,1
23,latch,1,156,7,32,5,0,1
24,latch,1,106,7,22,6,0,1
25,latch,1,135,7,27,26,0,1
26,latch,1,139,7,28,4,0,1
27,latch,0,309,8,62,57,0,1
28,latch,1,148,7,30,4,0,1
29,latch,1,127,7,26,4,0,1
30,latch,1,130,7,26,5,0,1
31,latch,1,128,7,26,5,0,1
32,latch,1,136,7,28,5,0,1
33,latch,1,93,7,19,19,0,1
34,latch,0,331,8,67,5,0,1
35,latch,0,250,8,50,48,0,1
36,latch,1,149,7,30,5,0,1
37,latch,1,156,7,32,5,0,1
38,latch,0,250,8,50,48,0,1
39,latch,0,253,8,51,47,0,1
40,latch,0,317,8,64,10,0,1
41,latch,0,347,8,70,8,0,1
42,latch,1,126,7,26,3,0,1
43,latch,0,250,8,50,47,0,1
44,latch,1,159,7,32,5,0,1
45,latch,1,89,7,18,4,0,1
46,latch,1,159,7,32,20,0,1
47,latch,0,305,8,61,53,0,1
48,latch,1,142,7,29,19,0,1
49,latch,1,117,7,24,4,0,1
