episode,mode,success,steps,phase,ticks,detections,truth_fallback_steps,latched
0,latch,1,151,7,31,4,0,1
1,latch,1,146,7,30,5,0,1
2,latch,0,309,8,62,3,0,1
3,latch,1,177,7,36,4,0,1
4,latch,1,141,7,29,6,0,1
5,latch,1,131,7,27,4,0,1
6,latch,1,152,7,31,4,0,1
7,latch,1,128,7,26,1,0,1
8,latch,1,116,7,24,4,0,1
9,latch,1,135,7,27,12,0,1
10,latch,1,132,7,27,5,0,1
11,latch,1,130,7,26,5,0,1
12,latch,1,171,7,35,5,0,1
13,latch,1,140,7,28,4,0,1
14,latch,1,157,7,32,3,0,1
15,latch,1,153,7,31,9,0,1
16,latch,1,155,7,31,3,0,1
17,latch,1,151,7,31,3,0,1
18,latch,1,145,7,29,4,0,1
19,latch,1,131,7,27,13,0,1
20,latch,0,256,8,52,6,0,1
21,latch,0,147,8,30,4,0,1
22,latch,1,133,7,27,5,0,1
23,latch,1,126,7,26,7,0,1
24,latch,1,146,7,30,4,0,1
25,latch,1,127,7,26,4,0,1
26,latch,1,124,7,25,4,0,1
27,latch,0,324,8,65,3,0,1
28,latch,1,137,7,28,4,0,1
29,latch,1,165,7,33,16,0,1
30,latch,0,252,8,51,48,0,1
31,latch,0,250,8,50,11,0,0
32,latch,1,141,7,29,5,0,1
33,latch,1,122,7,25,3,0,1
34,latch,1,121,7,25,4,0,1
35,latch,1,112,7,23,5,0,1
36,latch,1,117,7,24,4,0,1
37,latch,1,153,7,31,4,0,1
38,latch,1,136,7,28,5,0,1
39,latch,1,137,7,28,4,0,1
40,latch,1,152,7,31,7,0,1
41,latch,1,155,7,31,15,0,1
42,latch,1,156,7,32,4,0,1
43,latch,1,135,7,27,3,0,1
44,latch,1,83,7,17,3,0,1
45,latch,1,180,7,36,3,0,1
46,latch,1,153,7,31,4,0,1
47,latch,1,153,7,31,5,0,1
48,latch,0,123,8,25,7,0,1
49,latch,1,139,7,28,4,0,1
