episode,mode,success,steps,phase,ticks,detections,truth_fallback_steps,latched
0,latch,1,159,7,159,0,159,0
1,latch,1,107,7,1,1,0,1
2,latch,1,156,7,1,1,0,1
3,latch,1,146,7,1,1,0,1
4,latch,1,130,7,1,1,0,1
5,latch,0,172,8,2,1,1,1
6,latch,1,94,7,1,1,0,1
7,latch,1,122,7,1,1,0,1
8,latch,1,151,7,1,1,0,1
9,latch,1,144,7,1,1,0,1
10,latch,1,144,7,2,1,1,1
11,latch,1,156,7,1,1,0,1
12,latch,1,129,7,1,1,0,1
13,latch,0,316,8,1,1,0,1
14,latch,1,141,7,1,1,0,1
15,latch,1,117,7,117,0,117,0
16,latch,1,160,7,2,1,1,1
17,latch,1,148,7,1,1,0,1
18,latch,1,151,7,1,1,0,1
19,latch,1,145,7,1,1,0,1
20,latch,1,166,7,2,1,1,1
21,latch,1,156,7,2,1,1,1
22,latch,1,162,7,1,1,0,1
23,latch,1,151,7,1,1,0,1
24,latch,1,148,7,1,1,0,1
25,latch,1,101,7,3,1,2,1
26,latch,1,128,7,1,1,0,1
27,latch,0,309,8,1,1,0,1
28,latch,1,111,7,1,1,0,1
29,latch,1,87,7,87,0,87,0
30,latch,1,157,7,1,1,0,1
31,latch,0,316,8,3,1,2,1
32,latch,1,135,7,1,1,0,1
33,latch,1,154,7,3,1,2,1
34,latch,1,165,7,1,1,0,1
35,latch,1,148,7,1,1,0,1
36,latch,1,149,7,1,1,0,1
37,latch,1,156,7,1,1,0,1
38,latch,1,88,7,1,1,0,1
39,latch,1,131,7,1,1,0,1
40,latch,1,143,7,1,1,0,1
41,latch,1,163,7,3,1,2,1
42,latch,1,148,7,1,1,0,1
43,latch,1,146,7,1,1,0,1
44,latch,1,144,7,1,1,0,1
45,latch,1,166,7,3,1,2,1
46,latch,1,92,7,1,1,0,1
47,latch,0,130,8,3,1,2,1
48,latch,1,163,7,3,1,2,1
49,latch,1,153,7,1,1,0,1
