episode,mode,success,steps,phase,ticks,detections,truth_fallback_steps,latched
0,latch,1,144,7,1,1,0,1
1,latch,1,157,7,3,1,2,1
2,latch,1,117,7,1,1,0,1
3,latch,1,161,7,1,1,0,1
4,latch,1,147,7,3,1,2,1
5,latch,1,148,7,1,1,0,1
6,latch,1,154,7,3,1,2,1
7,latch,1,120,7,120,0,120,0
8,latch,1,145,7,2,1,1,1
9,latch,1,158,7,1,1,0,1
10,latch,1,145,7,1,1,0,1
11,latch,1,116,7,1,1,0,1
12,latch,1,135,7,1,1,0,1
13,latch,1,157,7,1,1,0,1
14,latch,1,153,7,1,1,0,1
15,latch,0,250,8,1,1,0,0
16,latch,1,172,7,2,1,1,1
17,latch,1,113,7,1,1,0,1
18,latch,1,127,7,1,1,0,1
19,latch,1,140,7,1,1,0,1
20,latch,1,99,7,1,1,0,1
21,latch,1,167,7,3,1,2,1
22,latch,1,164,7,2,1,1,1
23,latch,1,154,7,1,1,0,1
24,latch,1,154,7,1,1,0,1
25,latch,1,161,7,1,1,0,1
26,latch,1,120,7,1,1,0,1
27,latch,1,120,7,1,1,0,1
28,latch,1,95,7,1,1,0,1
29,latch,1,107,7,3,1,2,1
30,latch,0,351,8,351,0,351,0
31,latch,1,146,7,1,1,0,1
32,latch,1,96,7,1,1,0,1
33,latch,1,155,7,1,1,0,1
34,latch,1,168,7,3,1,2,1
35,latch,1,119,7,1,1,0,1
36,latch,1,113,7,1,1,0,1
37,latch,1,130,7,2,1,1,1
38,latch,1,154,7,1,1,0,1
39,latch,1,152,7,2,1,1,1
40,latch,1,128,7,1,1,0,1
41,latch,1,145,7,1,1,0,1
42,latch,1,128,7,1,1,0,1
43,latch,1,129,7,1,1,0,1
44,latch,1,161,7,2,1,1,1
45,latch,1,163,7,3,1,2,1
46,latch,1,158,7,1,1,0,1
47,latch,1,156,7,1,1,0,1
48,latch,1,162,7,3,1,2,1
49,latch,1,157,7,1,1,0,1
