episode,attempts,success,phase,steps,tag,regrasps,unjams
0,1,1,DONE_OK,139,AC_int8,0,0
1,1,1,DONE_OK,81,AC_int8,0,0
2,1,1,DONE_OK,96,AC_int8,0,0
3,1,1,DONE_OK,131,AC_int8,0,0
4,1,1,DONE_OK,109,AC_int8,0,0
5,1,1,DONE_OK,98,AC_int8,0,0
6,1,1,DONE_OK,104,AC_int8,0,0
7,1,1,DONE_OK,123,AC_int8,0,0
8,1,1,DONE_OK,126,AC_int8,0,0
9,1,1,DONE_OK,91,AC_int8,0,0
10,2,1,DONE_OK,137,AC_int8,0,0
11,1,0,DONE_FAIL,300,AC_int8,0,0
12,1,1,DONE_OK,44,AC_int8,0,0
13,1,1,DONE_OK,101,AC_int8,0,0
14,1,1,DONE_OK,108,AC_int8,0,0
15,1,1,DONE_OK,117,AC_int8,0,0
16,1,0,DONE_FAIL,121,AC_int8,0,0
17,1,1,DONE_OK,115,AC_int8,0,0
18,2,0,DONE_FAIL,164,AC_int8,0,0
19,1,1,DONE_OK,98,AC_int8,0,0
20,1,0,DONE_FAIL,291,AC_int8,1,0
21,1,1,DONE_OK,134,AC_int8,0,0
22,1,0,DONE_FAIL,300,AC_int8,0,0
23,1,1,DONE_OK,124,AC_int8,0,0
24,1,1,DONE_OK,42,AC_int8,0,0
25,1,0,DONE_FAIL,293,AC_int8,1,0
26,1,1,DONE_OK,91,AC_int8,0,0
27,1,1,DONE_OK,139,AC_int8,0,0
28,1,1,DONE_OK,116,AC_int8,0,0
29,1,1,DONE_OK,93,AC_int8,0,0
30,1,1,DONE_OK,68,AC_int8,0,0
31,1,1,DONE_OK,90,AC_int8,0,0
32,1,1,DONE_OK,103,AC_int8,0,0
33,1,1,DONE_OK,82,AC_int8,0,0
34,1,1,DONE_OK,125,AC_int8,0,0
35,1,0,DONE_FAIL,335,AC_int8,1,0
36,2,1,DONE_OK,113,AC_int8,0,0
37,1,1,DONE_OK,128,AC_int8,0,0
38,1,0,DONE_FAIL,54,AC_int8,0,0
39,2,1,DONE_OK,74,AC_int8,0,0
40,1,0,DONE_FAIL,300,AC_int8,0,0
41,1,0,DONE_FAIL,300,AC_int8,0,0
42,1,1,DONE_OK,120,AC_int8,0,0
43,1,1,DONE_OK,114,AC_int8,0,0
44,1,1,DONE_OK,139,AC_int8,0,0
45,1,1,DONE_OK,62,AC_int8,0,0
46,1,1,DONE_OK,34,AC_int8,0,0
47,1,1,DONE_OK,140,AC_int8,0,0
48,1,0,DONE_FAIL,315,AC_int8,1,0
49,1,1,DONE_OK,68,AC_int8,0,0
50,1,1,DONE_OK,126,AC_int8,0,0
51,1,1,DONE_OK,105,AC_int8,0,0
52,1,1,DONE_OK,20,AC_int8,0,0
53,1,1,DONE_OK,101,AC_int8,0,0
54,1,0,DONE_FAIL,510,AC_int8,1,0
55,1,0,DONE_FAIL,300,AC_int8,0,0
56,1,1,DONE_OK,87,AC_int8,0,0
57,1,1,DONE_OK,100,AC_int8,0,0
58,1,1,DONE_OK,218,AC_int8,0,0
59,1,0,DONE_FAIL,304,AC_int8,1,0
60,1,1,DONE_OK,69,AC_int8,0,0
61,1,1,DONE_OK,99,AC_int8,0,0
62,1,0,DONE_FAIL,270,AC_int8,1,0
63,1,0,DONE_FAIL,327,AC_int8,1,0
64,1,1,DONE_OK,114,AC_int8,0,0
65,1,1,DONE_OK,120,AC_int8,0,0
66,1,1,DONE_OK,115,AC_int8,0,0
67,1,1,DONE_OK,127,AC_int8,0,0
68,1,0,DONE_FAIL,268,AC_int8,1,0
69,1,1,DONE_OK,122,AC_int8,0,0
70,1,1,DONE_OK,128,AC_int8,0,0
71,1,0,DONE_FAIL,309,AC_int8,1,0
72,1,1,DONE_OK,45,AC_int8,0,0
73,1,1,DONE_OK,108,AC_int8,0,0
74,1,1,DONE_OK,115,AC_int8,0,0
75,1,1,DONE_OK,92,AC_int8,0,0
76,1,0,DONE_FAIL,256,AC_int8,1,0
77,1,1,DONE_OK,105,AC_int8,0,0
78,1,1,DONE_OK,96,AC_int8,0,0
79,1,1,DONE_OK,140,AC_int8,0,0
80,1,1,DONE_OK,99,AC_int8,0,0
81,1,1,DONE_OK,116,AC_int8,0,0
82,1,1,DONE_OK,105,AC_int8,0,0
83,1,0,DONE_FAIL,328,AC_int8,1,0
84,1,1,DONE_OK,161,AC_int8,0,0
85,1,1,DONE_OK,53,AC_int8,0,0
86,1,1,DONE_OK,100,AC_int8,0,0
87,1,1,DONE_OK,96,AC_int8,0,0
88,1,1,DONE_OK,101,AC_int8,0,0
89,1,1,DONE_OK,33,AC_int8,0,0
90,1,0,DONE_FAIL,300,AC_int8,0,0
91,1,1,DONE_OK,133,AC_int8,0,0
92,1,1,DONE_OK,99,AC_int8,0,0
93,1,1,DONE_OK,115,AC_int8,0,0
94,1,1,DONE_OK,78,AC_int8,0,0
95,1,1,DONE_OK,113,AC_int8,0,0
96,1,1,DONE_OK,144,AC_int8,0,0
97,1,1,DONE_OK,146,AC_int8,1,0
98,1,1,DONE_OK,80,AC_int8,0,0
99,2,0,DONE_FAIL,60,AC_int8,0,0
