episode,attempts,success,phase,steps,tag,regrasps,unjams
0,1,1,DONE_OK,104,AC_int8,0,0
1,1,1,DONE_OK,124,AC_int8,0,0
2,1,1,DONE_OK,95,AC_int8,0,0
3,1,0,DONE_FAIL,279,AC_int8,1,0
4,1,0,DONE_FAIL,126,AC_int8,0,0
5,1,1,DONE_OK,136,AC_int8,0,0
6,1,1,DONE_OK,118,AC_int8,0,0
7,1,1,DONE_OK,139,AC_int8,0,0
8,1,1,DONE_OK,106,AC_int8,0,0
9,1,1,DONE_OK,127,AC_int8,0,0
10,1,1,DONE_OK,36,AC_int8,0,0
11,1,1,DONE_OK,83,AC_int8,0,0
12,1,1,DONE_OK,99,AC_int8,0,0
13,1,1,DONE_OK,88,AC_int8,0,0
14,1,1,DONE_OK,103,AC_int8,0,0
15,1,1,DONE_OK,122,AC_int8,0,0
16,1,1,DONE_OK,108,AC_int8,0,0
17,1,1,DONE_OK,90,AC_int8,0,0
18,2,0,DONE_FAIL,299,AC_int8,1,0
19,2,1,DONE_OK,95,AC_int8,0,0
20,1,1,DONE_OK,83,AC_int8,0,0
21,1,1,DONE_OK,53,AC_int8,0,0
22,1,1,DONE_OK,53,AC_int8,0,0
23,1,1,DONE_OK,133,AC_int8,0,0
24,1,1,DONE_OK,93,AC_int8,0,0
25,1,1,DONE_OK,102,AC_int8,0,0
26,1,1,DONE_OK,120,AC_int8,0,0
27,1,1,DONE_OK,34,AC_int8,0,0
28,2,1,DONE_OK,128,AC_int8,0,0
29,1,0,DONE_FAIL,51,AC_int8,0,0
30,1,1,DONE_OK,115,AC_int8,0,0
31,1,1,DONE_OK,122,AC_int8,0,0
32,1,1,DONE_OK,96,AC_int8,0,0
33,2,0,DONE_FAIL,170,AC_int8,0,0
34,1,1,DONE_OK,89,AC_int8,0,0
35,3,1,DONE_OK,98,AC_int8,0,0
36,1,1,DONE_OK,96,AC_int8,0,0
37,1,1,DONE_OK,18,AC_int8,0,0
38,1,0,DONE_FAIL,105,AC_int8,0,0
39,1,0,DONE_FAIL,178,AC_int8,0,0
40,1,1,DONE_OK,72,AC_int8,0,0
41,1,1,DONE_OK,76,AC_int8,0,0
42,1,0,DONE_FAIL,300,AC_int8,0,0
43,1,1,DONE_OK,89,AC_int8,0,0
44,1,1,DONE_OK,42,AC_int8,0,0
45,1,1,DONE_OK,105,AC_int8,0,0
46,1,1,DONE_OK,110,AC_int8,0,0
47,1,1,DONE_OK,161,AC_int8,0,0
48,1,1,DONE_OK,112,AC_int8,0,0
49,1,1,DONE_OK,114,AC_int8,0,0
50,1,1,DONE_OK,91,AC_int8,0,0
51,1,1,DONE_OK,115,AC_int8,0,0
52,1,0,DONE_FAIL,300,AC_int8,0,0
53,1,1,DONE_OK,124,AC_int8,0,0
54,1,0,DONE_FAIL,179,AC_int8,0,0
55,1,1,DONE_OK,79,AC_int8,0,0
56,1,1,DONE_OK,127,AC_int8,0,0
57,2,1,DONE_OK,90,AC_int8,0,0
58,1,1,DONE_OK,105,AC_int8,0,0
59,1,0,DONE_FAIL,117,AC_int8,0,0
60,1,1,DONE_OK,119,AC_int8,0,0
61,1,0,DONE_FAIL,393,AC_int8,1,0
62,1,1,DONE_OK,101,AC_int8,0,0
63,1,0,DONE_FAIL,300,AC_int8,0,0
64,1,1,DONE_OK,111,AC_int8,0,0
65,2,1,DONE_OK,88,AC_int8,0,0
66,2,1,DONE_OK,81,AC_int8,0,0
67,1,1,DONE_OK,170,AC_int8,0,0
68,1,1,DONE_OK,50,AC_int8,0,0
69,1,1,DONE_OK,80,AC_int8,0,0
70,1,1,DONE_OK,113,AC_int8,0,0
71,1,0,DONE_FAIL,128,AC_int8,0,0
72,1,1,DONE_OK,130,AC_int8,0,0
73,1,1,DONE_OK,97,AC_int8,0,0
74,1,1,DONE_OK,83,AC_int8,0,0
75,1,1,DONE_OK,130,AC_int8,0,0
76,1,1,DONE_OK,115,AC_int8,0,0
77,1,1,DONE_OK,44,AC_int8,0,0
78,2,1,DONE_OK,48,AC_int8,0,0
79,1,1,DONE_OK,111,AC_int8,0,0
80,1,0,DONE_FAIL,50,AC_int8,0,0
81,1,1,DONE_OK,40,AC_int8,0,0
82,2,1,DONE_OK,93,AC_int8,0,0
83,1,1,DONE_OK,121,AC_int8,0,0
84,1,1,DONE_OK,22,AC_int8,0,0
85,1,1,DONE_OK,155,AC_int8,0,0
86,1,1,DONE_OK,78,AC_int8,0,0
87,2,0,DONE_FAIL,113,AC_int8,0,0
88,1,0,DONE_FAIL,312,AC_int8,1,0
89,2,1,DONE_OK,116,AC_int8,0,0
90,1,0,DONE_FAIL,277,AC_int8,1,0
91,2,1,DONE_OK,52,AC_int8,0,0
92,1,1,DONE_OK,94,AC_int8,0,0
93,1,1,DONE_OK,119,AC_int8,0,0
94,1,1,DONE_OK,106,AC_int8,0,0
95,1,1,DONE_OK,118,AC_int8,0,0
96,1,1,DONE_OK,37,AC_int8,0,0
97,1,1,DONE_OK,101,AC_int8,0,0
98,1,1,DONE_OK,174,AC_int8,0,0
99,1,0,DONE_FAIL,339,AC_int8,1,0
