episode,attempts,success,phase,steps,tag,regrasps,unjams
0,1,1,DONE_OK,127,AC_fp32,0,0
1,1,1,DONE_OK,107,AC_fp32,0,0
2,1,1,DONE_OK,103,AC_fp32,0,0
3,1,1,DONE_OK,107,AC_fp32,0,0
4,1,1,DONE_OK,127,AC_fp32,0,0
5,1,1,DONE_OK,115,AC_fp32,0,0
6,1,1,DONE_OK,109,AC_fp32,0,0
7,1,1,DONE_OK,117,AC_fp32,0,0
8,1,0,DONE_FAIL,300,AC_fp32,0,0
9,1,1,DONE_OK,99,AC_fp32,0,0
10,1,1,DONE_OK,97,AC_fp32,0,0
11,1,1,DONE_OK,101,AC_fp32,0,0
12,1,1,DONE_OK,104,AC_fp32,0,0
13,1,0,DONE_FAIL,300,AC_fp32,0,0
14,1,0,DONE_FAIL,300,AC_fp32,1,0
15,1,1,DONE_OK,119,AC_fp32,0,0
16,1,1,DONE_OK,126,AC_fp32,0,0
17,1,1,DONE_OK,121,AC_fp32,0,0
18,1,0,DONE_FAIL,143,AC_fp32,0,0
19,1,0,DONE_FAIL,89,AC_fp32,0,0
20,1,1,DONE_OK,102,AC_fp32,0,0
21,2,1,DONE_OK,102,AC_fp32,0,0
22,1,1,DONE_OK,124,AC_fp32,0,0
23,1,0,DONE_FAIL,75,AC_fp32,0,0
24,1,1,DONE_OK,110,AC_fp32,0,0
25,1,1,DONE_OK,79,AC_fp32,0,0
26,1,1,DONE_OK,130,AC_fp32,0,0
27,1,1,DONE_OK,98,AC_fp32,0,0
28,1,1,DONE_OK,112,AC_fp32,0,0
29,1,1,DONE_OK,92,AC_fp32,0,0
30,1,1,DONE_OK,89,AC_fp32,0,0
31,1,1,DONE_OK,124,AC_fp32,0,0
32,1,1,DONE_OK,78,AC_fp32,0,0
33,2,1,DONE_OK,82,AC_fp32,0,0
34,1,1,DONE_OK,103,AC_fp32,0,0
35,1,1,DONE_OK,157,AC_fp32,0,0
36,1,1,DONE_OK,105,AC_fp32,0,0
37,1,1,DONE_OK,91,AC_fp32,0,0
38,1,1,DONE_OK,82,AC_fp32,0,0
39,1,0,DONE_FAIL,52,AC_fp32,0,0
40,1,1,DONE_OK,80,AC_fp32,0,0
41,1,0,DONE_FAIL,300,AC_fp32,0,0
42,1,1,DONE_OK,117,AC_fp32,0,0
43,1,1,DONE_OK,92,AC_fp32,0,0
44,1,1,DONE_OK,120,AC_fp32,0,0
45,1,0,DONE_FAIL,300,AC_fp32,0,0
46,1,1,DONE_OK,113,AC_fp32,0,0
47,1,1,DONE_OK,89,AC_fp32,0,0
48,1,1,DONE_OK,105,AC_fp32,0,0
49,1,1,DONE_OK,94,AC_fp32,0,0
50,1,1,DONE_OK,100,AC_fp32,0,0
51,1,1,DONE_OK,87,AC_fp32,0,0
52,1,1,DONE_OK,110,AC_fp32,0,0
53,1,1,DONE_OK,97,AC_fp32,0,0
54,1,1,DONE_OK,91,AC_fp32,0,0
55,1,1,DONE_OK,89,AC_fp32,0,0
56,1,1,DONE_OK,32,AC_fp32,0,0
57,1,1,DONE_OK,82,AC_fp32,0,0
58,1,1,DONE_OK,108,AC_fp32,0,0
59,1,1,DONE_OK,102,AC_fp32,0,0
60,1,1,DONE_OK,96,AC_fp32,0,0
61,1,1,DONE_OK,84,AC_fp32,0,0
62,1,0,DONE_FAIL,300,AC_fp32,0,0
63,1,1,DONE_OK,86,AC_fp32,0,0
64,1,1,DONE_OK,94,AC_fp32,0,0
65,1,1,DONE_OK,122,AC_fp32,0,0
66,1,1,DONE_OK,101,AC_fp32,0,0
67,1,0,DONE_FAIL,124,AC_fp32,0,0
68,1,1,DONE_OK,136,AC_fp32,0,0
69,1,1,DONE_OK,107,AC_fp32,0,0
70,1,1,DONE_OK,130,AC_fp32,0,0
71,1,1,DONE_OK,192,AC_fp32,0,0
72,2,1,DONE_OK,61,AC_fp32,0,0
73,1,1,DONE_OK,98,AC_fp32,0,0
74,1,1,DONE_OK,98,AC_fp32,0,0
75,1,1,DONE_OK,107,AC_fp32,0,0
76,2,1,DONE_OK,104,AC_fp32,0,0
77,1,0,DONE_FAIL,303,AC_fp32,1,0
78,1,1,DONE_OK,94,AC_fp32,0,0
79,1,1,DONE_OK,156,AC_fp32,0,0
80,1,1,DONE_OK,95,AC_fp32,0,0
81,1,1,DONE_OK,127,AC_fp32,0,0
82,1,1,DONE_OK,82,AC_fp32,0,0
83,1,1,DONE_OK,100,AC_fp32,0,0
84,1,1,DONE_OK,122,AC_fp32,0,0
85,1,1,DONE_OK,125,AC_fp32,0,0
86,1,1,DONE_OK,94,AC_fp32,0,0
87,1,1,DONE_OK,135,AC_fp32,0,0
88,1,0,DONE_FAIL,300,AC_fp32,0,0
89,1,1,DONE_OK,107,AC_fp32,0,0
90,1,1,DONE_OK,93,AC_fp32,0,0
91,1,0,DONE_FAIL,296,AC_fp32,1,0
92,1,1,DONE_OK,114,AC_fp32,0,0
93,1,1,DONE_OK,91,AC_fp32,0,0
94,1,1,DONE_OK,89,AC_fp32,0,0
95,1,1,DONE_OK,95,AC_fp32,0,0
96,1,1,DONE_OK,104,AC_fp32,0,0
97,1,0,DONE_FAIL,300,AC_fp32,0,0
98,1,1,DONE_OK,119,AC_fp32,0,0
99,1,1,DONE_OK,194,AC_fp32,1,0
